nodeid,tipo,valor
0,PerspectivaGenero,4
1,PerspectivaGenero,4
2,PerspectivaGenero,4
3,PerspectivaGenero,2
4,PerspectivaGenero,2
5,PerspectivaGenero,3
6,PerspectivaGenero,3
7,PerspectivaGenero,3
8,PerspectivaGenero,1
9,PerspectivaGenero,10
10,PerspectivaGenero,10
11,PerspectivaGenero,3
12,PerspectivaGenero,0
13,PerspectivaGenero,6
14,PerspectivaGenero,6
15,PerspectivaGenero,6
16,PerspectivaGenero,6
17,PerspectivaGenero,5
18,PerspectivaGenero,5
19,PerspectivaGenero,1
20,PerspectivaGenero,8
21,PerspectivaGenero,8
22,PerspectivaGenero,8
23,PerspectivaGenero,5
24,PerspectivaGenero,5
25,PerspectivaGenero,5
26,PerspectivaGenero,2
27,PerspectivaGenero,2
28,PerspectivaGenero,2
29,PerspectivaGenero,7
30,PerspectivaGenero,7
31,PerspectivaGenero,10
32,PerspectivaGenero,10
33,PerspectivaGenero,10
34,PerspectivaGenero,3
35,PerspectivaGenero,3
36,PerspectivaGenero,1
37,PerspectivaGenero,1
38,PerspectivaGenero,3
39,PerspectivaGenero,3
40,PerspectivaGenero,6
41,PerspectivaGenero,5
42,PerspectivaGenero,5
43,PerspectivaGenero,6
44,PerspectivaGenero,7
45,PerspectivaGenero,6
46,PerspectivaGenero,6
47,PerspectivaGenero,6
48,PerspectivaGenero,6
49,PerspectivaGenero,8
50,PerspectivaGenero,9
51,PerspectivaGenero,5
52,PerspectivaGenero,5
53,PerspectivaGenero,5
54,PerspectivaGenero,5
55,PerspectivaGenero,6
56,PerspectivaGenero,6
57,PerspectivaGenero,6
58,PerspectivaGenero,6
59,PerspectivaGenero,0
60,PerspectivaGenero,3
61,PerspectivaGenero,3
62,PerspectivaGenero,10
63,PerspectivaGenero,10
64,PerspectivaGenero,10
65,PerspectivaGenero,10
66,PerspectivaGenero,10
67,PerspectivaGenero,10
68,PerspectivaGenero,10
69,PerspectivaGenero,10
70,PerspectivaGenero,1
71,PerspectivaGenero,1
72,PerspectivaGenero,1
73,PerspectivaGenero,1
74,PerspectivaGenero,1
75,PerspectivaGenero,1
76,PerspectivaGenero,2
77,PerspectivaGenero,4
78,PerspectivaGenero,4
79,PerspectivaGenero,4
80,PerspectivaGenero,4
81,PerspectivaGenero,4
82,PerspectivaGenero,4
83,PerspectivaGenero,6
84,PerspectivaGenero,6
85,PerspectivaGenero,6
86,PerspectivaGenero,3
87,PerspectivaGenero,1
