nodeid,tipo,valor
0,Social,5
1,Social,5
2,Social,5
3,Social,4
4,Social,4
5,Social,7
6,Social,7
7,Social,7
8,Social,5
9,Social,6
10,Social,6
11,Social,2
12,Social,0
13,Social,2
14,Social,5
15,Social,5
16,Social,5
17,Social,6
18,Social,6
19,Social,4
20,Social,9
21,Social,9
22,Social,9
23,Social,7
24,Social,7
25,Social,7
26,Social,5
27,Social,5
28,Social,5
29,Social,7
30,Social,7
31,Social,6
32,Social,6
33,Social,6
34,Social,6
35,Social,6
36,Social,3
37,Social,3
38,Social,7
39,Social,7
40,Social,8
41,Social,10
42,Social,10
43,Social,6
44,Social,7
45,Social,8
46,Social,8
47,Social,8
48,Social,8
49,Social,7
50,Social,5
51,Social,1
52,Social,1
53,Social,9
54,Social,9
55,Social,8
56,Social,8
57,Social,8
58,Social,8
59,Social,0
60,Social,2
61,Social,2
62,Social,7
63,Social,7
64,Social,7
65,Social,7
66,Social,7
67,Social,6
68,Social,6
69,Social,6
70,Social,1
71,Social,1
72,Social,1
73,Social,1
74,Social,1
75,Social,1
76,Social,4
77,Social,7
78,Social,7
79,Social,7
80,Social,7
81,Social,7
82,Social,7
83,Social,6
84,Social,6
85,Social,6
86,Social,4
87,Social,3
88,Social,0
89,Social,3
90,Social,10
91,Social,10
92,Social,10
93,Social,4
94,Social,4
95,Social,4
96,Social,4
97,Social,4
98,Social,4
99,Social,4
100,Social,9
101,Social,8
102,Social,8
103,Social,8
104,Social,4
105,Social,4
106,Social,4
107,Social,4
108,Social,4
109,Social,7
110,Social,7
111,Social,8
112,Social,8
113,Social,5
114,Social,5
115,Social,6
116,Social,7
117,Social,7
118,Social,6
119,Social,6
120,Social,6
121,Social,6
122,Social,5
123,Social,5
124,Social,5
125,Social,5
126,Social,3
127,Social,5
128,Social,5
129,Social,1
130,Social,1
131,Social,1
132,Social,1
133,Social,1
134,Social,10
135,Social,8
136,Social,8
137,Social,8
138,Social,6
139,Social,6
140,Social,6
141,Social,9
142,Social,9
143,Social,9
144,Social,9
145,Social,5
146,Social,3
147,Social,0
148,Social,2
149,Social,2
150,Social,2
151,Social,7
152,Social,7
153,Social,7
154,Social,6
155,Social,6
156,Social,6
157,Social,6
158,Social,6
159,Social,9
160,Social,9
161,Social,9
162,Social,9
163,Social,9
164,Social,4
165,Social,5
166,Social,5
167,Social,5
168,Social,5
169,Social,3
170,Social,10
171,Social,1
172,Social,1
173,Social,5
174,Social,5
175,Social,5
176,Social,5
177,Social,0
178,Social,10
179,Social,0
180,Social,5
181,Social,5
182,Social,5
183,Social,5
184,Social,5
185,Social,10
186,Social,4
187,Social,0
188,Social,4
189,Social,4
190,Social,4
191,Social,0
192,Social,7
193,Social,7
194,Social,4
195,Social,8
196,Social,3
197,Social,3
198,Social,3
199,Social,8
200,Social,8
201,Social,8
202,Social,8
203,Social,8
204,Social,8
205,Social,2
206,Social,2
207,Social,2
208,Social,0
209,Social,6
210,Social,6
211,Social,6
212,Social,6
213,Social,6
214,Social,5
215,Social,5
216,Social,1
217,Social,1
218,Social,1
219,Social,1
220,Social,1
221,Social,6
222,Social,8
223,Social,8
224,Social,8
225,Social,3
226,Social,3
227,Social,3
228,Social,3
229,Social,5
230,Social,5
231,Social,5
232,Social,5
233,Social,5
234,Social,5
235,Social,6
236,Social,6
237,Social,7
238,Social,7
239,Social,2
240,Social,7
241,Social,7
242,Social,7
243,Social,7
244,Social,7
245,Social,7
246,Social,10
247,Social,10
248,Social,10
249,Social,8
250,Social,1
251,Social,10
252,Social,10
253,Social,10
254,Social,0
255,Social,2
256,Social,2
257,Social,2
258,Social,2
259,Social,2
260,Social,6
261,Social,6
262,Social,5
263,Social,5
264,Social,5
265,Social,2
266,Social,8
267,Social,9
268,Social,9
269,Social,8
270,Social,8
271,Social,6
272,Social,8
273,Social,8
274,Social,8
275,Social,8
276,Social,7
277,Social,0
278,Social,0
279,Social,7
280,Social,7
281,Social,7
282,Social,7
283,Social,7
284,Social,7
285,Social,7
286,Social,9
287,Social,9
288,Social,9
289,Social,1
290,Social,2
291,Social,2
292,Social,2
293,Social,2
294,Social,2
295,Social,3
296,Social,3
297,Social,2
298,Social,2
299,Social,2
300,Social,1
301,Social,1
302,Social,1
303,Social,1
304,Social,3
305,Social,3
306,Social,3
307,Social,3
308,Social,8
309,Social,8
310,Social,9
311,Social,9
312,Social,9
313,Social,2
314,Social,2
315,Social,8
316,Social,8
317,Social,8
318,Social,0
319,Social,5
320,Social,5
321,Social,8
322,Social,8
323,Social,8
324,Social,8
325,Social,5
326,Social,8
